ID,Name,Surname,Email,Group(s)
1,John,Doe,john.doe@example.com,Math,Science
2,Jane,Smith,jane.smith@example.com,Science
3,Alex,Johnson,alex.johnson@example.com,Math
4,Emily,Brown,emily.brown@example.com,Math,Art,History
5,Daniel,Williams,daniel.williams@example.com,Default Group
6,Lisa,Taylor,lisa.taylor@example.com,Math,Science
7,Michael,Clark,michael.clark@example.com,Science,History
8,Sophia,Martinez,sophia.martinez@example.com,Art
9,David,Lee,david.lee@example.com,Math,Science,Art
10,Ava,Walker,ava.walker@example.com,Default Group
11,Vilte,Venckute,a@a.c,Medicine
12,John,Doe,john.doe@mail.com,Group A
13,Jane,Smith,jane.smith@mail.lt,Group A
14,Tomas,Petrauskas,tomas@mail.com,Group B
15,Kimberly,Henry,kimberly.henry@example.com,Math
16,Alex,Jones,alex.jones@example.com,Biology
17,Richard,Fisher,richard.fisher@example.com,Literature
18,Rebecca,Lopez,rebecca.lopez@example.com,Literature
19,Brian,Rojas,brian.rojas@example.com,Math
20,Christine,Miller,christine.miller@example.com,Literature
21,Jennifer,Savage,jennifer.savage@example.com,Physics
22,Christopher,Buckley,christopher.buckley@example.com,ComputerScience
23,Amanda,White,amanda.white@example.com,ComputerScience
24,Diana,Mcdonald,diana.mcdonald@example.com,ComputerScience,Literature
25,Melissa,Warren,melissa.warren@example.com,Biology
26,Mariah,Riley,mariah.riley@example.com,Math
27,William,Gutierrez,william.gutierrez@example.com,Physics
28,Elizabeth,Ramsey,elizabeth.ramsey@example.com,Biology
29,Christopher,Williams,christopher.williams@example.com,Literature
30,David,Armstrong,david.armstrong@example.com,Math
31,Joseph,Neal,joseph.neal@example.com,Math
32,John,Holloway,john.holloway@example.com,Math
33,Michael,Gutierrez,michael.gutierrez@example.com,Physics
34,Karen,Murphy,karen.murphy@example.com,Physics
35,Joseph,Stanley,joseph.stanley@example.com,Biology
36,Lauren,Gregory,lauren.gregory@example.com,Biology
37,Melissa,Warner,melissa.warner@example.com,Math
38,Brandi,Collier,brandi.collier@example.com,Literature
39,Kayla,Gordon,kayla.gordon@example.com,Physics
40,Kathleen,Vasquez,kathleen.vasquez@example.com,Biology
41,Elizabeth,Johnson,elizabeth.johnson@example.com,Literature
42,Brandon,Mccoy,brandon.mccoy@example.com,Literature,Biology
43,Derek,King,derek.king@example.com,Literature
44,Christopher,Werner,christopher.werner@example.com,ComputerScience,Math
45,Cynthia,Diaz,cynthia.diaz@example.com,Literature
46,Kimberly,Hamilton,kimberly.hamilton@example.com,Literature
47,John,Dixon,john.dixon@example.com,ComputerScience
48,Michael,Thornton,michael.thornton@example.com,Biology
49,Kevin,Sweeney,kevin.sweeney@example.com,Literature
